year,average_kenyan_coffee_price_usd,average_foreign_coffee_price_usd,current_total_factor_productivity,germany_import_coffee_price_usd,belgium_import_coffee_price_usd,united_states_import_coffee_price_usd,south_korea_import_coffee_price_usd,annual_coffee_production,annual_exportable_coffee,annual_coffee_exports,rashid_moledina_exports,kenya_cooperative_coffee_exporters_exports,dormans_exports,mwangi_coffee_exporters_exports,sannex_coffee_exports,africoff_trading_exports,diamond_coffee_company_exports,rockbern_coffee_group_exports,real_exchange_rate_percent,nominal_exchange_rate_percent,average_agricultural_price,total_annual_imports,total_annual_exports,real_gdp_growth_percent,gross_capital_formation_percent,population_growth_rate_percent,real_interest_rate_percent,natural_resource_endowment
2011,187.11361886881014,224.26,0.33332529664039612,100,85.822744303150003,87.53632465151,66.92384067511,757,707,609,225.32999999999998,66.989999999999995,54.809999999999995,36.54,30.450000000000003,24.36,9.1349999999999998,6.09,74.100171960259502,70.979022372111288,109.94875300643,36.852728903734615,173.3831145,5.1211061197056011,21.885812275946702,2.6937436464668898,4.5261858322689834,0.13603800657973619
2012,110.40159117578034,152.29,0.34835594892501831,109.94875300643,100,85.822744303150003,70.818206809350002,875,825,803,297.11,88.33,72.27,48.18,40.150000000000006,32.119999999999997,12.045,8.0299999999999994,61.279155134721904,62.366858551791864,91.981029580669997,31.758744300364722,187.6188435,4.5686796144498203,22.193362925882347,2.6628078044088301,9.3135113445828832,0.13493176089195474
2013,124.5756371743722,102.14,0.33464601635932922,91.981029580669997,109.94875300643,100,70.080805805180006,843,788,815,301.55,89.65,73.349999999999994,48.9,40.75,32.6,12.225,8.15,105.04026350149508,105.2684868271007,86.978999998500001,29.672461959564867,191.0018948,3.7978483925754034,22.404968103986164,2.6186044777613802,9.293946359699536,0.12948634463799727
2014,124.5756371743722,134.69999999999999,0.32686504721641541,86.978999998500001,91.981029580669997,109.94875300643,73.237087112919994,770,715,799,295.63,87.89,71.91,47.94,39.950000000000003,31.96,11.984999999999999,7.99,81.313731093187101,81.311729921089878,84.926911444059996,29.697684896403715,201.14001110000001,5.020111002324839,24.950718998773283,2.5594031449433898,8.2490789921732421,0.12654951425387181
2015,106.70364937808026,104.49,0.33354976773262024,84.926911444059996,86.978999998500001,91.981029580669997,82.823877491819999,799,739,712,263.44,78.320000000000007,64.08,42.72,35.6,28.48,10.68,7.12,100.25839085305739,103.65030540602113,85.108790199040001,25.198650788451495,195.97405789999999,4.9677211275976703,22.103398202029336,2.4917675483783701,6.2688057827038435,0.12379542779943296
2016,112.39451067824453,107.83,0.3471578061580658,85.108790199040001,84.926911444059996,91.981029580669997,85.169691910089995,793,733,727,268.99,79.97,65.429999999999993,43.62,36.35,29.080000000000002,10.904999999999999,7.2700000000000005,105.80111232030234,102.33602020207779,85.286614125989999,21.615274772506528,198.1118736,4.2135170681474392,19.348435830933212,2.4208209378037302,10.118128713498676,0.12109907010529564
2017,120.10387272461915,110.48,0.35923540592193604,85.286614125989999,85.108790199040001,86.978999998500001,87.53632465151,790,725,710,262.7,78.099999999999994,63.9,42.6,35.5,28.400000000000002,10.65,7.1000000000000005,112.41900371776396,112.41800758918235,83.225566480159998,23.258397934034907,183.06049909999999,3.837958173647209,20.663494902277343,2.3564774490697999,5.656747615859067,0.11849276306471071
2018,119.37320535914152,90.78,0.36265131831169128,83.225566480159998,85.286614125989999,84.926911444059996,85.822744303150003,930,860,753,278.61,82.83,67.77,45.18,37.65,30.12,11.295,7.53,133.20878609999679,133.19356654359382,79.483951761010005,21.87277784338352,192.89824139999999,5.6479464070921921,19.3759862497025,2.30574364203494,8.4879604749469095,0.11610843599054028
2019,125,138.96,0.35414230823516846,79.483951761010005,83.225566480159998,85.108790199040001,100,725,665,750,277.5,82.5,67.5,45,37.5,30,11.25,7.5,91.745195010569589,91.74402705814623,77.745437031029994,20.331470061665055,193.28119269999999,5.1141588576780066,19.34183437397774,2.2727463790793099,7.8311007476740624,0.11383385556250117
2020,136,180.55,0.34005632996559143,77.745437031029994,79.483951761010005,85.286614125989999,109.94875300643,750,690,775,286.75,85.25,69.75,46.5,38.75,31,11.625,7.75,80.198947659927995,80.198947659927995,76.566834106529996,17.594366535231224,202.29870500000001,-0.25015570496837825,19.683101042792508,2.25187943057208,6.7292271660868277,0.1115689713610145
